File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Experiment date released	Project	RBNS protein concentration	Read length	Run type	Library fragmentation method	Library size range	Biosample Age	Biological replicate	Technical replicate	Size	Lab	md5sum	File download URL	Assembly	Platform
ENCFF001POU	fastq	reads	ENCSR000CNK	DNase-seq	UBERON:0002107	liver	tissue	embryonic	male	Mus musculus						DNA		see document	see document		2013-05-20	ENCODE			single-ended	see document		14.5 day	1	1	614426230	John Stamatoyannopoulos, UW	e9f020b3576c81447044e8ac4f6387f9	https://www.encodeproject.org/files/ENCFF001POU/@@download/ENCFF001POU.fastq.gz		
ENCFF001PPD	fastq	reads	ENCSR000CNK	DNase-seq	UBERON:0002107	liver	tissue	embryonic	male	Mus musculus						DNA		see document	see document		2013-05-20	ENCODE			single-ended	see document		14.5 day	2	1	649374042	John Stamatoyannopoulos, UW	e435dcb214a54a1e142fca9958a6d7bc	https://www.encodeproject.org/files/ENCFF001PPD/@@download/ENCFF001PPD.fastq.gz		
ENCFF001PPH	fastq	reads	ENCSR000CNK	DNase-seq	UBERON:0002107	liver	tissue	embryonic	male	Mus musculus						DNA		see document	see document		2013-05-20	ENCODE			single-ended	see document		14.5 day	2	1	514795083	John Stamatoyannopoulos, UW	5baf13779cc26d5aabcdd9fdc06cdfcf	https://www.encodeproject.org/files/ENCFF001PPH/@@download/ENCFF001PPH.fastq.gz	mm9	
ENCFF001PPC	fastq	reads	ENCSR000CNK	DNase-seq	UBERON:0002107	liver	tissue	embryonic	male	Mus musculus						DNA		see document	see document		2013-05-20	ENCODE			single-ended	see document		14.5 day	1	1	54687452	John Stamatoyannopoulos, UW	42cf72b45a3b67f2eb0c120edf97b4c8	https://www.encodeproject.org/files/ENCFF001PPC/@@download/ENCFF001PPC.fastq.gz	mm9	
ENCFF001PPG	fastq	reads	ENCSR000CNK	DNase-seq	UBERON:0002107	liver	tissue	embryonic	male	Mus musculus						DNA		see document	see document		2013-05-20	ENCODE			single-ended	see document		14.5 day	2	1	615673738	John Stamatoyannopoulos, UW	d2fa134832d76492d8db7f24adb53fa7	https://www.encodeproject.org/files/ENCFF001PPG/@@download/ENCFF001PPG.fastq.gz	mm9	
ENCFF001POY	fastq	reads	ENCSR000CNK	DNase-seq	UBERON:0002107	liver	tissue	embryonic	male	Mus musculus						DNA		see document	see document		2013-05-20	ENCODE			single-ended	see document		14.5 day	1	1	153273103	John Stamatoyannopoulos, UW	77d656ab6833851840a2a9d8d1f2fee1	https://www.encodeproject.org/files/ENCFF001POY/@@download/ENCFF001POY.fastq.gz	mm9	
ENCFF001PPA	fastq	reads	ENCSR000CNK	DNase-seq	UBERON:0002107	liver	tissue	embryonic	male	Mus musculus						DNA		see document	see document		2013-05-20	ENCODE			single-ended	see document		14.5 day	1	1	152379946	John Stamatoyannopoulos, UW	f45c76879a09fee8d35bf056a30850bf	https://www.encodeproject.org/files/ENCFF001PPA/@@download/ENCFF001PPA.fastq.gz	mm9	
ENCFF001POV	fastq	reads	ENCSR000CNK	DNase-seq	UBERON:0002107	liver	tissue	embryonic	male	Mus musculus						DNA		see document	see document		2013-05-20	ENCODE			single-ended	see document		14.5 day	1	1	611970910	John Stamatoyannopoulos, UW	d45289351d11140ff55ee86ee682a6dd	https://www.encodeproject.org/files/ENCFF001POV/@@download/ENCFF001POV.fastq.gz	mm9	
ENCFF001POW	fastq	reads	ENCSR000CNK	DNase-seq	UBERON:0002107	liver	tissue	embryonic	male	Mus musculus						DNA		see document	see document		2013-05-20	ENCODE			single-ended	see document		14.5 day	1	1	165434382	John Stamatoyannopoulos, UW	7b410390f115a05e4eded869d46aecb4	https://www.encodeproject.org/files/ENCFF001POW/@@download/ENCFF001POW.fastq.gz	mm9	
ENCFF001POZ	fastq	reads	ENCSR000CNK	DNase-seq	UBERON:0002107	liver	tissue	embryonic	male	Mus musculus						DNA		see document	see document		2013-05-20	ENCODE			single-ended	see document		14.5 day	1	1	152599873	John Stamatoyannopoulos, UW	03e38de8d123d83f2aaf14615a600c9f	https://www.encodeproject.org/files/ENCFF001POZ/@@download/ENCFF001POZ.fastq.gz	mm9	
ENCFF001PPB	fastq	reads	ENCSR000CNK	DNase-seq	UBERON:0002107	liver	tissue	embryonic	male	Mus musculus						DNA		see document	see document		2013-05-20	ENCODE			single-ended	see document		14.5 day	1	1	152593138	John Stamatoyannopoulos, UW	73727475d77b69e2ea2ccc50a2c55e7f	https://www.encodeproject.org/files/ENCFF001PPB/@@download/ENCFF001PPB.fastq.gz	mm9	
ENCFF001PPF	fastq	reads	ENCSR000CNK	DNase-seq	UBERON:0002107	liver	tissue	embryonic	male	Mus musculus						DNA		see document	see document		2013-05-20	ENCODE			single-ended	see document		14.5 day	2	1	309381950	John Stamatoyannopoulos, UW	4e066da732713376697218bb9a09e87c	https://www.encodeproject.org/files/ENCFF001PPF/@@download/ENCFF001PPF.fastq.gz	mm9	
ENCFF001PXL	fastq	reads	ENCSR000CNU	DNase-seq	UBERON:0000966	retina	tissue	postnatal	male	Mus musculus						DNA		see document	see document		2012-09-19	ENCODE			single-ended	see document		7 day	1	1	626474073	John Stamatoyannopoulos, UW	6fb205c2ebd619c13e900ddb8e2a63f2	https://www.encodeproject.org/files/ENCFF001PXL/@@download/ENCFF001PXL.fastq.gz		
ENCFF001PXP	fastq	reads	ENCSR000CNU	DNase-seq	UBERON:0000966	retina	tissue	postnatal	male	Mus musculus						DNA		see document	see document		2012-09-19	ENCODE			single-ended	see document		7 day	1	1	520030493	John Stamatoyannopoulos, UW	3d28a2192ce6635d9738432b97431bd6	https://www.encodeproject.org/files/ENCFF001PXP/@@download/ENCFF001PXP.fastq.gz	mm9	
ENCFF001PXM	fastq	reads	ENCSR000CNU	DNase-seq	UBERON:0000966	retina	tissue	postnatal	male	Mus musculus						DNA		see document	see document		2012-09-19	ENCODE			single-ended	see document		7 day	1	1	290834305	John Stamatoyannopoulos, UW	f807e49b633e13a6e480a492f796450d	https://www.encodeproject.org/files/ENCFF001PXM/@@download/ENCFF001PXM.fastq.gz	mm9	
ENCFF001PXN	fastq	reads	ENCSR000CNU	DNase-seq	UBERON:0000966	retina	tissue	postnatal	male	Mus musculus						DNA		see document	see document		2012-09-19	ENCODE			single-ended	see document		7 day	1	1	651497095	John Stamatoyannopoulos, UW	e7c387e06a5dd05eca147d07005caa87	https://www.encodeproject.org/files/ENCFF001PXN/@@download/ENCFF001PXN.fastq.gz	mm9	
ENCFF001PKW	fastq	reads	ENCSR000CMZ	DNase-seq	UBERON:0003916	fat pad	tissue	adult	male	Mus musculus						DNA		see document	see document		2011-07-01	ENCODE			single-ended	see document		8 week	1	1	895443657	John Stamatoyannopoulos, UW	63304eb805b52cb3f45b151ccf00792a	https://www.encodeproject.org/files/ENCFF001PKW/@@download/ENCFF001PKW.fastq.gz		
ENCFF001PKZ	fastq	reads	ENCSR000CMZ	DNase-seq	UBERON:0003916	fat pad	tissue	adult	male	Mus musculus						DNA		see document	see document		2011-07-01	ENCODE			single-ended	see document		8 week	2	1	856260304	John Stamatoyannopoulos, UW	ed1c41af7d6848c0da4dc0da2d79d9b7	https://www.encodeproject.org/files/ENCFF001PKZ/@@download/ENCFF001PKZ.fastq.gz		
ENCFF001PLG	fastq	reads	ENCSR000CNB	DNase-seq	UBERON:0005417	forelimb bud	tissue	embryonic	male	Mus musculus						DNA		see document	see document		2012-03-29	ENCODE			single-ended	see document		11.5 day	2	1	206382337	John Stamatoyannopoulos, UW	7c6d8a8c25f03b597f46af7d128083f5	https://www.encodeproject.org/files/ENCFF001PLG/@@download/ENCFF001PLG.fastq.gz		
ENCFF001PLY	fastq	reads	ENCSR000CNB	DNase-seq	UBERON:0005417	forelimb bud	tissue	embryonic	male	Mus musculus						DNA		see document	see document		2012-03-29	ENCODE			single-ended	see document		11.5 day	1	1	1332661013	John Stamatoyannopoulos, UW	d1fbc79e1b1d53dff922807038a507b3	https://www.encodeproject.org/files/ENCFF001PLY/@@download/ENCFF001PLY.fastq.gz		
ENCFF001PLH	fastq	reads	ENCSR000CNB	DNase-seq	UBERON:0005417	forelimb bud	tissue	embryonic	male	Mus musculus						DNA		see document	see document		2012-03-29	ENCODE			single-ended	see document		11.5 day	2	1	5605937994	John Stamatoyannopoulos, UW	1bd43311650a73df18b8d55dafb1aa4c	https://www.encodeproject.org/files/ENCFF001PLH/@@download/ENCFF001PLH.fastq.gz	mm9	
ENCFF001PNA	fastq	reads	ENCSR000CND	DNase-seq	EFO:0004988	embryoid body	tissue	embryonic	male	Mus musculus						DNA		see document	see document		2012-09-14	ENCODE			single-ended	see document		11.5 day	1	1	302360252	John Stamatoyannopoulos, UW	f9cfdaa51091afd85813bb094765d2ed	https://www.encodeproject.org/files/ENCFF001PNA/@@download/ENCFF001PNA.fastq.gz		
ENCFF001PNI	fastq	reads	ENCSR000CND	DNase-seq	EFO:0004988	embryoid body	tissue	embryonic	male	Mus musculus						DNA		see document	see document		2012-09-14	ENCODE			single-ended	see document		11.5 day	2	1	187533700	John Stamatoyannopoulos, UW	37929b3e1c499fea366993912e379ce5	https://www.encodeproject.org/files/ENCFF001PNI/@@download/ENCFF001PNI.fastq.gz		
ENCFF001PNJ	fastq	reads	ENCSR000CND	DNase-seq	EFO:0004988	embryoid body	tissue	embryonic	male	Mus musculus						DNA		see document	see document		2012-09-14	ENCODE			single-ended	see document		11.5 day	2	1	918680770	John Stamatoyannopoulos, UW	b37ad2c7d4b5073ab24407bfbb54dde1	https://www.encodeproject.org/files/ENCFF001PNJ/@@download/ENCFF001PNJ.fastq.gz	mm9	
ENCFF001PNC	fastq	reads	ENCSR000CND	DNase-seq	EFO:0004988	embryoid body	tissue	embryonic	male	Mus musculus						DNA		see document	see document		2012-09-14	ENCODE			single-ended	see document		11.5 day	1	1	146081236	John Stamatoyannopoulos, UW	6137d1eb6b430871b6878771ab399906	https://www.encodeproject.org/files/ENCFF001PNC/@@download/ENCFF001PNC.fastq.gz	mm9	
ENCFF001PND	fastq	reads	ENCSR000CND	DNase-seq	EFO:0004988	embryoid body	tissue	embryonic	male	Mus musculus						DNA		see document	see document		2012-09-14	ENCODE			single-ended	see document		11.5 day	1	1	146072889	John Stamatoyannopoulos, UW	43eb3a29b66ca3bcf147e57a3efa285a	https://www.encodeproject.org/files/ENCFF001PND/@@download/ENCFF001PND.fastq.gz	mm9	
ENCFF001PNB	fastq	reads	ENCSR000CND	DNase-seq	EFO:0004988	embryoid body	tissue	embryonic	male	Mus musculus						DNA		see document	see document		2012-09-14	ENCODE			single-ended	see document		11.5 day	1	1	146418689	John Stamatoyannopoulos, UW	35b2438d124d2440856635b3f41da8b1	https://www.encodeproject.org/files/ENCFF001PNB/@@download/ENCFF001PNB.fastq.gz	mm9	
ENCFF001PNF	fastq	reads	ENCSR000CND	DNase-seq	EFO:0004988	embryoid body	tissue	embryonic	male	Mus musculus						DNA		see document	see document		2012-09-14	ENCODE			single-ended	see document		11.5 day	1	1	62291309	John Stamatoyannopoulos, UW	94a770fc263fca5a52af99d7c79d4ee9	https://www.encodeproject.org/files/ENCFF001PNF/@@download/ENCFF001PNF.fastq.gz	mm9	
ENCFF001PNH	fastq	reads	ENCSR000CND	DNase-seq	EFO:0004988	embryoid body	tissue	embryonic	male	Mus musculus						DNA		see document	see document		2012-09-14	ENCODE			single-ended	see document		11.5 day	1	1	525797653	John Stamatoyannopoulos, UW	2b2f0091aff52fba00058c9b764eafe8	https://www.encodeproject.org/files/ENCFF001PNH/@@download/ENCFF001PNH.fastq.gz	mm9	
ENCFF001PNE	fastq	reads	ENCSR000CND	DNase-seq	EFO:0004988	embryoid body	tissue	embryonic	male	Mus musculus						DNA		see document	see document		2012-09-14	ENCODE			single-ended	see document		11.5 day	1	1	146124926	John Stamatoyannopoulos, UW	5c87424765d6191d1692be4def36e036	https://www.encodeproject.org/files/ENCFF001PNE/@@download/ENCFF001PNE.fastq.gz	mm9	
ENCFF001PUR	fastq	reads	ENCSR000CNO	DNase-seq	UBERON:0000926	mesoderm	tissue	embryonic	male	Mus musculus						DNA		see document	see document		2012-03-29	ENCODE			single-ended	see document		11.5 day	1	1	160698346	John Stamatoyannopoulos, UW	be43313e0196316d21263b388666a216	https://www.encodeproject.org/files/ENCFF001PUR/@@download/ENCFF001PUR.fastq.gz		
ENCFF001PUT	fastq	reads	ENCSR000CNO	DNase-seq	UBERON:0000926	mesoderm	tissue	embryonic	male	Mus musculus						DNA		see document	see document		2012-03-29	ENCODE			single-ended	see document		11.5 day	2	1	847403090	John Stamatoyannopoulos, UW	7138c4272c63356ac5895354ceb7d5f4	https://www.encodeproject.org/files/ENCFF001PUT/@@download/ENCFF001PUT.fastq.gz		
ENCFF001PUS	fastq	reads	ENCSR000CNO	DNase-seq	UBERON:0000926	mesoderm	tissue	embryonic	male	Mus musculus						DNA		see document	see document		2012-03-29	ENCODE			single-ended	see document		11.5 day	1	1	5340133838	John Stamatoyannopoulos, UW	ec32e11cfeffa5c078948ac7c6430d69	https://www.encodeproject.org/files/ENCFF001PUS/@@download/ENCFF001PUS.fastq.gz	mm9	
